detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp
879604	23208	54319	41	5,67	1	2022-07-13 10:53:51.420
879605	23208	54319	41	6,35	1	2022-07-13 10:53:56.450
879606	23208	54319	41	8,7	1	2022-07-13 10:54:01.480
879607	23208	54319	42	10,69	1	2022-07-13 10:54:06.747
879608	23208	54319	42	10,69	0	2022-07-13 10:54:11.747
879609	23208	54319	42	10,82	0	2022-07-13 10:54:18.420
879610	23208	54319	42	10,92	1	2022-07-13 10:54:21.560
879611	23208	54319	41	11,09	0	2022-07-13 10:54:26.607
879612	23208	54319	0	0	0	2022-07-13 10:54:36.653
879613	23208	54319	42	11,04	0	2022-07-13 10:54:41.670
879614	23208	54319	42	11,01	0	2022-07-13 10:54:46.717
879615	23208	54319	42	11,05	0	2022-07-13 10:54:51.717
879616	23208	54319	42	11,05	0	2022-07-13 10:54:56.747
879617	23208	54319	42	10,97	0	2022-07-13 10:55:01.780
879618	23208	54319	42	8,32	1	2022-07-13 10:55:06.857
879619	23208	54319	42	5,2	1	2022-07-13 10:55:11.857
879620	23208	54319	42	4,7	1	2022-07-13 10:55:17.077
879774	23208	54319	42	15,34	0	2022-07-13 11:09:21.017
879594	23208	54319	41	5,66	0	2022-07-13 10:53:09.400
879621	23208	54319	42	4,56	1	2022-07-13 10:55:35.280
879622	23208	54319	42	4,58	1	2022-07-13 10:55:35.530
879623	23208	54319	42	4,68	1	2022-07-13 10:55:35.547
879624	23208	54319	42	5,6	1	2022-07-13 10:55:36.950
879625	23208	54319	42	5,52	1	2022-07-13 10:55:41.983
879626	23208	54319	42	5,61	1	2022-07-13 10:55:47.000
879627	23208	54319	42	5,71	0	2022-07-13 10:55:52.030
879628	23208	54319	42	5,57	0	2022-07-13 10:55:57.047
879629	23208	54319	42	5,56	0	2022-07-13 10:56:02.077
879630	23208	54319	41	5,59	1	2022-07-13 10:56:07.093
879631	23208	54319	42	5,62	0	2022-07-13 10:56:12.123
879632	23208	54319	42	5,56	1	2022-07-13 10:56:17.157
879633	23208	54319	44	5,58	1	2022-07-13 10:56:22.170
879634	23208	54319	42	5,55	1	2022-07-13 10:56:27.233
879635	23208	54319	42	5,66	1	2022-07-13 10:56:32.233
879636	23208	54319	42	5,58	0	2022-07-13 10:56:37.250
879637	23208	54319	42	5,59	0	2022-07-13 10:56:42.267
879638	23208	54319	42	5,56	0	2022-07-13 10:56:47.297
879639	23208	54319	42	5,54	0	2022-07-13 10:56:52.330
879640	23208	54319	42	5,6	0	2022-07-13 10:56:57.343
